"薬品マスタ","2026/03/04"
"PK","","TZMYAKUHINMEISHO","TZMYAKUHIN","TZMYAKUHINBETSUKIHONJOHOKUBUN","","TZMYAKUKA","TZMYAKUHINMEISHO","TZMYAKUHIN","","TZMYAKUHINBETSUKIHONJOHOKUBUN",""
"YAKUHIN_CODE","","YAKUHIN_NM","HOST_CODE","SAIYO_DIV","","YAKKA","YAKUHIN_NM_KANA","ZAIKEI_CODE","","DOKUGEKIYAKU_DIV",""
"コード(区分値)","コード","名称","ホストコード","採用区分（区分値）(区分値)","採用区分（区分値）","薬価","カナ名称","剤形(区分値)","剤形","毒劇薬（区分値）(区分値)","毒劇薬（区分値）"
"ｱﾅｽ001","ｱﾅｽ001","アナストロゾール錠１ｍｇ「ＮＫ」","ｱﾅｽﾄ","0","","58.50000","ｱﾅｽﾄﾛｿﾞｰﾙｼﾞｮｳ1mg｢NK｣","001","錠剤","2",""
"ｱﾅｽ002","ｱﾅｽ002","アナストロゾール錠１ｍｇ「サワイ」","","2","","58.50000","ｱﾅｽﾄﾛｿﾞ-ﾙｼﾞﾖｳ1MGｻﾜｲ","001","錠剤","2",""
"ｱﾅﾌ001","ｱﾅﾌ001","アナフラニール錠２５ｍｇ","ｱﾅﾌﾗ2*","0","","11.10000","ｱﾅﾌﾗﾆｰﾙｼﾞｮｳ25mg","001","錠剤","0",""
"ｱﾅﾌ002","ｱﾅﾌ002","アナフラニール点滴静注液２５ｍｇ","ｱﾅﾌﾗﾆｰ","2","","225.00000","ｱﾅﾌﾗﾆｰﾙﾃﾝﾃｷｼﾞｮｳﾁｭｳｴｷ25mg","025","注射剤","2",""
"ｱﾈｷ001","ｱﾈｷ001","アネキセート注射液０．５ｍｇ","ｱﾈｷｾ","1","","2001.00000","ｱﾈｷｾｰﾄﾁｭｳｼｬｴｷ0.5mg","025","注射剤","2",""
"ｱﾉﾛ001","ｱﾉﾛ001","アノーロエリプタ３０吸入用","","0","","5445.10000","ｱﾉ-ﾛｴﾘﾌﾟﾀ30ｷﾕｳﾆﾕｳﾖｳ","010","吸入剤","0",""
"ｱﾌﾀ001","ｱﾌﾀ001","アフタッチ口腔用貼付剤２５μｇ","ｱﾌﾀｯﾁ","0","","22.70000","ｱﾌﾀｯﾁｺｳｸｳﾖｳﾁｮｳﾌｻﾞｲ25μg","019","貼付剤","0",""
"ｱﾏﾝ001","ｱﾏﾝ001","アマンタジン塩酸塩錠５０ｍｇ「杏林」","ｱﾏﾝﾀ","1","","6.10000","ｱﾏﾝﾀｼﾞﾝｴﾝｻﾝｴﾝｼﾞｮｳ50mg｢ｷｮｳﾘﾝ｣","001","錠剤","0",""
"ｱﾐｵ001","ｱﾐｵ001","アミオダロン塩酸塩速崩錠５０ｍｇ「ＴＥ」","ｱﾐｵ","2","","44.10000","ｱﾐｵﾀﾞﾛﾝｴﾝｻﾝｴﾝｿｸﾎｳｼﾞｮｳ50mg｢TE｣","001","錠剤","1",""
"ｱﾐﾃ001","ｱﾐﾃ001","アミティーザカプセル２４μｇ","ｱﾐﾃ","1","","96.90000","ｱﾐﾃｨｰｻﾞｶﾌﾟｾﾙ24μg","002","カプセル","0",""
